legacy_url,route,language,type,draft_id,ordered_content,reference_fields
https://www.msm.digital/de/project/acer-social-media/,/de/cases/acer-social-media,de,caseStudy,drafts.case-msm-acer-social-media-de,challengeAndSolution [challenge-solution] → resultsMetrics [results] → intertitleCTA [a4087764c33d00cd],"{""services"": [{""_type"": ""reference"", ""_ref"": ""service-msm-content-kreation-de"", ""_weak"": true, ""_strengthenOnPublish"": {""type"": ""services""}, ""_key"": ""4306b63c9dbe2e5e""}, {""_type"": ""reference"", ""_ref"": ""service-msm-social-media-de"", ""_weak"": true, ""_strengthenOnPublish"": {""type"": ""services""}, ""_key"": ""b47b8a3c0832503d""}]}"
https://www.msm.digital/de/project/epic-games-fortnite-pr/,/de/cases/epic-games-fortnite-pr,de,caseStudy,drafts.case-msm-epic-games-fortnite-pr-de,challengeAndSolution [challenge-solution] → resultsMetrics [results] → intertitleCTA [ba9eadacfa7e0d20],"{""services"": [{""_type"": ""reference"", ""_ref"": ""service-msm-pr-de"", ""_weak"": true, ""_strengthenOnPublish"": {""type"": ""services""}, ""_key"": ""296402b40a12cba3""}]}"
https://www.msm.digital/de/project/jakks-pacifik-harry-potter-zauberstab-activation/,/de/cases/jakks-pacifik-harry-potter-zauberstab-activation,de,caseStudy,drafts.case-msm-jakks-pacifik-harry-potter-zauberstab-activation-de,challengeAndSolution [challenge-solution] → resultsMetrics [results] → intertitleCTA [0f2d99a2015d2085],"{""services"": [{""_type"": ""reference"", ""_ref"": ""service-msm-experiential-marketing-de"", ""_weak"": true, ""_strengthenOnPublish"": {""type"": ""services""}, ""_key"": ""33db4ef0c919ae34""}]}"
https://www.msm.digital/de/project/reifen-helm-digital-marketing/,/de/cases/reifen-helm-digital-marketing,de,caseStudy,drafts.case-msm-reifen-helm-digital-marketing-de,challengeAndSolution [challenge-solution] → resultsMetrics [results] → intertitleCTA [c0f9ca227e8c2e9c],"{""services"": [{""_type"": ""reference"", ""_ref"": ""service-msm-content-kreation-de"", ""_weak"": true, ""_strengthenOnPublish"": {""type"": ""services""}, ""_key"": ""4306b63c9dbe2e5e""}, {""_type"": ""reference"", ""_ref"": ""service-msm-development-de"", ""_weak"": true, ""_strengthenOnPublish"": {""type"": ""services""}, ""_key"": ""d5188da632b002cd""}, {""_type"": ""reference"", ""_ref"": ""service-msm-social-media-de"", ""_weak"": true, ""_strengthenOnPublish"": {""type"": ""services""}, ""_key"": ""b47b8a3c0832503d""}, {""_type"": ""reference"", ""_ref"": ""service-msm-strategy-de"", ""_weak"": true, ""_strengthenOnPublish"": {""type"": ""services""}, ""_key"": ""c118d943d9b8a3bc""}]}"
https://www.msm.digital/de/project/coop-kvicki-q-warteschlangen-management/,/de/cases/coop-kvicki-q-warteschlangen-management,de,caseStudy,drafts.case-msm-coop-kvicki-q-warteschlangen-management-de,challengeAndSolution [challenge-solution] → resultsMetrics [results] → intertitleCTA [64d711665c762181],"{""services"": [{""_type"": ""reference"", ""_ref"": ""service-msm-pos-marketing-de"", ""_weak"": true, ""_strengthenOnPublish"": {""type"": ""services""}, ""_key"": ""9ffa6c9573843237""}]}"
https://www.msm.digital/de/project/decivisual-ux-ui-und-branding/,/de/cases/decivisual-ux-ui-und-branding,de,caseStudy,drafts.case-msm-decivisual-ux-ui-und-branding-de,challengeAndSolution [challenge-solution] → resultsMetrics [results] → intertitleCTA [5fa7deff7bf55342],"{""services"": [{""_type"": ""reference"", ""_ref"": ""service-msm-strategy-de"", ""_weak"": true, ""_strengthenOnPublish"": {""type"": ""services""}, ""_key"": ""c118d943d9b8a3bc""}]}"
https://www.msm.digital/de/project/ea-fifa-pr/,/de/cases/ea-fifa-pr,de,caseStudy,drafts.case-msm-ea-fifa-pr-de,challengeAndSolution [challenge-solution] → resultsMetrics [results] → intertitleCTA [4685e48c8349daab],"{""services"": [{""_type"": ""reference"", ""_ref"": ""service-msm-pr-de"", ""_weak"": true, ""_strengthenOnPublish"": {""type"": ""services""}, ""_key"": ""296402b40a12cba3""}]}"
https://www.msm.digital/de/project/daikin-b2c-b2b-energie-bonus/,/de/cases/daikin-b2c-b2b-energie-bonus,de,caseStudy,drafts.case-msm-daikin-b2c-b2b-energie-bonus-de,challengeAndSolution [challenge-solution] → resultsMetrics [results] → intertitleCTA [2511aa36c8693c42],"{""services"": [{""_type"": ""reference"", ""_ref"": ""service-msm-cashback-services-de"", ""_weak"": true, ""_strengthenOnPublish"": {""type"": ""services""}, ""_key"": ""1ec3d936d4a88fe3""}]}"
https://www.msm.digital/de/project/warner-bros-lego-games-brand-communication/,/de/cases/warner-bros-lego-games-brand-communication,de,caseStudy,drafts.case-msm-warner-bros-lego-games-brand-communication-de,challengeAndSolution [challenge-solution] → resultsMetrics [results] → intertitleCTA [dbda2a01bf5f3278],"{""services"": [{""_type"": ""reference"", ""_ref"": ""service-msm-pr-de"", ""_weak"": true, ""_strengthenOnPublish"": {""type"": ""services""}, ""_key"": ""296402b40a12cba3""}]}"
https://www.msm.digital/de/project/obi-micro-influencer-kampagne/,/de/cases/obi-micro-influencer-kampagne,de,caseStudy,drafts.case-msm-obi-micro-influencer-kampagne-de,challengeAndSolution [challenge-solution] → resultsMetrics [results] → intertitleCTA [7913257e37b36228],"{""services"": [{""_type"": ""reference"", ""_ref"": ""service-msm-hashtaglove-de"", ""_weak"": true, ""_strengthenOnPublish"": {""type"": ""services""}, ""_key"": ""d3bab37b06b7ea51""}, {""_type"": ""reference"", ""_ref"": ""service-msm-influencer-marketing-de"", ""_weak"": true, ""_strengthenOnPublish"": {""type"": ""services""}, ""_key"": ""efd96d96d8224e11""}]}"
