File,Display name,SHA256,Width,Height,Action,Client ID,Cloudinary public ID,Review exception
Event_Horizon.jpg,Event Horizon,4947ce794d244f2bf66f7756a8731ca39c35c0a343acc7088533cbd3eb8349b7,200,104,new,client-renaissance-event-horizon-en,renaissance/clients/v4/event-horizon-4947ce794d24,
Exquisite_Gaming.jpg,Exquisite Gaming,3779e64fecc9186bcbe19304ebb875bbd62a41aa8fe8582b32bf9155dcee0d53,200,200,new,client-renaissance-exquisite-gaming-en,renaissance/clients/v4/exquisite-gaming-3779e64fecc9,
Fairyship_Games.jpg,Fairyship Games,9bc97f510af9499d4931b4413ed5aa5876d8238a3067bbda3e7843c525289947,200,135,new,client-renaissance-fairyship-games-en,renaissance/clients/v4/fairyship-games-9bc97f510af9,
Funcom.jpg,Funcom,f621b0e23e550c9a8ea4429b9c7d42590f7b2eaf091ffd5af5772b7a3dec314d,200,200,new,client-renaissance-funcom-en,renaissance/clients/v4/funcom-f621b0e23e55,
Futurlab.jpg,FuturLab,509bd3e3ae65977ab213b5219b305a610449ef99f3fe6480553f49238447907e,200,200,new,client-renaissance-futurlab-en,renaissance/clients/v4/futurlab-509bd3e3ae65,
GPTRACK50.jpg,GPTRACK50,16944b07613b004ddec906b70cbbcb2d6d20a032cdf9c7c0db2a7de635f14d8c,200,100,new,client-renaissance-gptrack50-en,renaissance/clients/v4/gptrack50-16944b07613b,
GRYPHLINE.jpg,GRYPHLINE,95fbbba0ae60f6f2801b7eeb8d0e0dfbe65c16d8a141d1f721960dec968955b0,200,50,new,client-renaissance-gryphline-en,renaissance/clients/v4/gryphline-95fbbba0ae60,
GSC_Game_World.jpg,GSC Game World,0129b2eee393909aaeaf946243e0ed95854709e93cbba1edd717551e5b3aac7b,200,119,reuse,bf0e4443-5cd6-40c0-9422-f0a15a4195c5,renaissance/clients/v4/gsc-game-world-0129b2eee393,
GSE.jpg,GSE,7fe63fa712e3a83190add934cfea1cc96ba52c2fdc021b6b3994d1df9895195c,200,192,new,client-renaissance-gse-en,renaissance/clients/v4/gse-7fe63fa712e3,
GameMill.jpg,GameMill,d510cf7cf0735c3aa765fa89ed3f93d52bf75ce61781e834182e74a79cb6e5cf,200,56,new,client-renaissance-gamemill-en,renaissance/clients/v4/gamemill-d510cf7cf073,
